#Org,Prog,Econ,CÓDIGO PARTIDA,Denominación ,Vinc.Org.,Vinc.Func,Vinc.Eco.,CRÉDITO INICIAL,MODIFICACIONES DE CRÉDITO,CRÉDITO TOTAL,TOTAL O
1.0,151,22199,151/22199,Otros suministros,1.0,151,2,600.0,0.0,600.0,0.0
1.0,151,22200,151/22200,Comunicaciones Telefónicas  Urbanismo,1.0,151,2,2000.0,0.0,2000.0,980.83
1.0,151,22604,151/22604,Indemnizaciones Responsabilidad Patrimonial Viario,1.0,151,2,10000.0,20000.0,30000.0,54000.0
1.0,151,22706,151/22706,REM-Servicios Tecnicos Urbanisticos y topograficos,1.0,151,2,0.0,1706.1,1706.1,0.0
1.0,151,22706,151/22706,Servicios Tecnicos Urbanisticos y topograficos,1.0,151,2,98000.0,-15532.6,82467.4,38974.76
1.0,151,22706,151/22706,Servicios Tecnicos Urbanisticos y topograficos,1.0,151,2,0.0,3327.12,3327.12,0.0
1.0,151,23120,151/23120,Gastos Locomoción Urbanisticos,1.0,151,2,500.0,0.0,500.0,10.84
1.0,153,13000,1532/13000,Retribuciones Personal Fijo Brigada,1.0,153,1,105049.82,0.0,105049.82,73063.1
1.0,153,13100,1532/13100,Retribuciones Personal  temporal Brigada,1.0,153,1,60535.07,1977.76,62512.83,45687.93
1.0,153,16000,1532/16000,Seguros Sociales Personal Brigada,1.0,153,1,60604.03,472.84,61076.87,45151.18
1.0,153,21000,1532/21000,Repar.y Manten.Infraestructura,1.0,153,2,125000.0,-975.0,124025.0,29719.62
1.0,153,21000,1532/21000,REM Repar.y Manten.Infraestructura,1.0,153,2,0.0,8293.82,8293.82,8293.82
1.0,153,21001,1532/21001,Repar.y Manten.Infraestructura Zona Santa Isabel.,1.0,153,2,0.0,65000.0,65000.0,0.0
1.0,153,21200,1532/21200,Reparaciones Nave Municipal,1.0,153,2,2000.0,0.0,2000.0,0.0
1.0,153,21300,1532/21300,REM Mantenimiento de Instalaciones y Utillaje,1.0,153,2,0.0,4.71,4.71,4.71
1.0,153,21300,1532/21300,Mantenimiento de Instalaciones y Utillaje,1.0,153,2,8800.0,-160.48,8639.52,407.02
1.0,153,21400,1532/21400,Reparacion vehiculos vias públicas,1.0,153,2,9000.0,0.0,9000.0,5040.29
1.0,153,21400,1532/21400,REM Reparacion vehiculos vias públicas,1.0,153,2,0.0,960.76,960.76,927.49
1.0,153,21500,1532/21500,Mantenimiento Enseres Vias publicas,1.0,153,2,1000.0,0.0,1000.0,0.0
1.0,153,22100,1532/22100,Suministro Energia Electrica nave municipal,1.0,153,2,1400.0,0.0,1400.0,2396.09
1.0,153,22101,1532/22101,Suministro agua Vias Publicas,1.0,153,2,500.0,0.0,500.0,127.22
1.0,153,22103,1532/22103,REM Suministro Combustibles y Carburantes Vias Publica,1.0,153,2,0.0,1094.75,1094.75,0.0
1.0,153,22103,1532/22103,Suministro Combustibles y Carburantes Vias Publica,1.0,153,2,6000.0,0.0,6000.0,3185.34
1.0,153,22104,1532/22104,Vestuario Brigadas Vias Publicas,1.0,153,2,3000.0,0.0,3000.0,897.05
1.0,153,22199,1532/22199,Suministros Varios Vias Publicas,1.0,153,2,1000.0,0.0,1000.0,3472.64
1.0,153,22199,1532/22199,REM Suministros Varios Vias Publicas,1.0,153,2,0.0,597.14,597.14,597.14
1.0,153,22200,1532/22200,Comunicaciones Telefónicas Vias Publicas,1.0,153,2,1400.0,0.0,1400.0,740.14
1.0,153,22400,1532/22400,Seguros Urbanismo,1.0,153,2,2500.0,0.0,2500.0,2465.05
1.0,153,22701,1532/22701,Contratos de Seguridad Nave Municipal,1.0,153,2,0.0,0.0,0.0,91.2
1.0,153,61000,1532/61000,REM/Infraestrucuras Generales,1.0,153,6,0.0,114.25,114.25,0.0
1.0,153,61000,1532/61000,PIR  Ejecución Carril Bicicleta,1.0,153,6,0.0,282755.36,282755.36,19828.76
1.0,153,61000,1532/61000,REM PIR Infraestrucuras Generales PIR,1.0,153,6,0.0,364735.53,364735.53,353694.56
1.0,153,61001,1532/61001,REM PRESInversion Infraestructuras C. Especiales Chozuela,1.0,153,6,0.0,101616.0,101616.0,0.0
1.0,153,61002,1532/61002,Liquidacion Obras Soterramiento  Linea de media calle Matarrubia,1.0,153,6,0.0,6950.0,6950.0,6943.25
1.0,153,61003,1532/61003,Inversiones infraestru Viaria  (CTOEXT),1.0,153,6,0.0,763550.17,763550.17,0.0
1.0,153,61004,1532/61004,Inversiones infraestruCTURA  Viaria  (CTOEXT),1.0,153,6,0.0,0.0,0.0,0.0
1.0,153,61004,1532/61004,REM IFS Infraestructura Viaria (IFS),1.0,153,6,0.0,335033.7,335033.7,224338.02
1.0,153,61005,1532/61005,REM FA Infraestructura Viaria (CTOEX) Aparcamiento Linares,1.0,153,6,0.0,68894.98,68894.98,68575.25
1.0,153,61006,1532/61006,REM Convenio de Refuerzo Infraestructuras Canal Isabel II,1.0,153,6,0.0,76784.83,76784.83,76784.83
1.0,153,61006,1532/61006,Convenio de Refuerzo Infraestructuras Canal Isabel II,1.0,153,6,0.0,56160.48,56160.48,56160.48
1.0,153,62300,1532/62300,Adquisicion de maquinaria y utillajes,1.0,153,6,0.0,975.0,975.0,974.27
1.0,161,21000,161/21000,Reparaciones Servicio de Aguas,1.0,161,2,220000.0,80000.0,300000.0,284083.41
1.0,161,22700,161/22700,Limpieza de Alcantarillado,1.0,161,2,2500.0,0.0,2500.0,0.0
1.0,161,22708,161/22708,Servicios Recaudacion Canal Isabel II,1.0,161,2,23000.0,0.0,23000.0,13079.07
1.0,161,61000,161/61000,REM IFS-Inversiones Infraestructura Servicio Aguas y Alcan,1.0,161,6,0.0,328981.0,328981.0,234813.68
1.0,162,22200,1621/22200,Comunicaciones SMS m2m. Telegestión,1.0,162,2,2000.0,0.0,2000.0,0.0
1.0,162,22501,1621/22501,Tasa Autonomicas Eliminacion Residuos,1.0,162,2,42000.0,0.0,42000.0,28857.76
1.0,162,22700,1621/22700,REMContrato Recogida de basuras,1.0,162,2,0.0,645.52,645.52,0.0
1.0,162,22700,1621/22700,Contrato Recogida de basuras,1.0,162,2,428920.01,-59550.0,369370.01,161113.68
1.0,162,22702,1621/22702,REM Contrato  Explotacion Punto Limpio,1.0,162,2,0.0,14449.15,14449.15,12146.43
1.0,162,22702,1621/22702,Contrato  Explotacion Punto Limpio,1.0,162,2,28000.0,0.0,28000.0,15841.4
1.0,163,22700,163/22700,Contrato Limpieza Viaria,1.0,163,2,0.0,2585.22,2585.22,0.0
1.0,163,22700,163/22700,Contrato Limpieza Viaria,1.0,163,2,457000.0,-87000.0,370000.0,212996.99
1.0,163,22719,163/22719,Servicio de Limpieza y Desinfección Viaria Infraes,1.0,163,2,9000.0,0.0,9000.0,4488.0
1.0,164,62200,164/62200,Fosas de Cementerio,1.0,164,6,0.0,150000.0,150000.0,0.0
1.0,165,21001,165/21001,Reparac.y Manten.Alumbrado Publico,1.0,165,2,40000.0,30000.0,70000.0,18457.04
1.0,165,22100,165/22100,Suministro de Energía Eléctrica Vias Publicas,1.0,165,2,100000.0,0.0,100000.0,56194.26
1.0,165,22200,165/22200,Comunicaciones SMS m2m,1.0,165,2,0.0,0.0,0.0,2322.86
1.0,165,22706,165/22706,Servicios Tecnicos  Alumbrado Públic,1.0,165,2,0.0,0.0,0.0,0.0
1.0,165,22719,165/22719,Reparac.y Manten.Alumbrado Publico,1.0,165,2,18000.0,0.0,18000.0,2240.13
1.0,165,22719,165/22719,REM Reparac.y Manten.Alumbrado Publico,1.0,165,2,0.0,568.28,568.28,568.28
1.0,165,62300,165/62300,REM Inversion Reposicion de Alumbrado Público (CEXTR),1.0,165,6,0.0,41107.73,41107.73,40740.93
1.0,171,10000,171/10000,Retribuciones Altos Cargos medio Rural,1.0,171,1,0.0,10200.05,10200.05,2914.28
1.0,171,11000,171/11000,Retribuciones Personal Event.Gabinete,1.0,171,1,0.0,10500.0,10500.0,5957.14
1.0,171,13100,171/13100,Retribuciones Personal  temporal Jardines y Med. Amb,1.0,171,1,123000.0,23328.0,146328.0,109529.62
1.0,171,16000,171/16000,Seguridad Social Personal de Jardineria,1.0,171,1,38700.0,21855.62,60555.62,30771.7
1.0,171,20300,171/20300,Alquiler de maquinaria Serv Jardines,1.0,171,2,0.0,0.0,0.0,1289.86
1.0,171,21000,171/21000,Repar.y Manten.Infraestructura Parques,1.0,171,2,21000.0,0.0,21000.0,1342.17
1.0,171,21000,171/21000,REMRepar.y Manten.Infraestructura Parques,1.0,171,2,0.0,16488.36,16488.36,16488.36
1.0,171,21000,171/21000,REMRepar.y Manten.Infraestructura Parques,1.0,171,2,0.0,21659.0,21659.0,21659.0
1.0,171,21001,171/21001,REM Repar.y Mantenimiento de  Dehesa,1.0,171,2,0.0,14520.0,14520.0,14520.0
1.0,171,21001,171/21001,Repar.y Mantenimiento de  Dehesa,1.0,171,2,30000.0,0.0,30000.0,2920.5
1.0,171,21300,171/21300,Reparacion  Mobiliario  y Columpios,1.0,171,2,20000.0,0.0,20000.0,11777.36
1.0,171,21400,171/21400,Reparación Vehículos Parques y Jardines,1.0,171,2,1000.0,0.0,1000.0,116.53
1.0,171,22101,171/22101,Parques Suministro de Agua,1.0,171,2,3000.0,0.0,3000.0,923.23
1.0,171,22103,171/22103,REM Combustibles y Carburantes,1.0,171,2,0.0,466.24,466.24,0.0
1.0,171,22103,171/22103,Combustibles y Carburantes,1.0,171,2,1000.0,0.0,1000.0,2701.02
1.0,171,22104,171/22104,Suministro de VestuarioBrigada Jardines,1.0,171,2,1800.0,0.0,1800.0,0.0
1.0,171,22106,171/22106,Suministros Sanitarios de Control de Plagas,1.0,171,2,2000.0,0.0,2000.0,274.76
1.0,171,22110,171/22110,Suministro de productos de Limpieza,1.0,171,2,2000.0,0.0,2000.0,1643.12
1.0,171,22199,171/22199,Suministros Varios Medio Ambiente y Jardines,1.0,171,2,7000.0,0.0,7000.0,4697.82
1.0,171,22200,171/22200,Comunicaciones telefónicas,1.0,171,2,500.0,0.0,500.0,0.0
1.0,171,22400,171/22400,Primas Seguros Medio Ambiente y Jardines,1.0,171,2,200.0,0.0,200.0,0.0
1.0,171,22401,171/22401,Primas Seguros  Vehículos de Medio Ambiente y Jardines,1.0,171,2,1000.0,0.0,1000.0,404.15
1.0,171,22501,171/22501,Tasas  y Otros Tributos,1.0,171,2,900.0,0.0,900.0,605.4
1.0,171,22605,171/22605,Gastos  de  Comunicación Medio Ambiente,1.0,171,2,4000.0,0.0,4000.0,0.0
1.0,171,22699,171/22699,Gastos Diversos Medio Ambiente,1.0,171,2,0.0,0.0,0.0,214.28
1.0,171,22718,171/22718,REM Contrato  de Prestación Servicios Manten Jardines,1.0,171,2,0.0,798.6,798.6,798.6
1.0,171,22718,171/22718,Contrato  de Prestación Servicios Manten Jardines,1.0,171,2,458060.0,-156945.75,301114.25,186390.75
1.0,171,22719,171/22719,Contrato Servicios   y Tratamien Anim Domésticos,1.0,171,2,18400.0,-8500.0,9900.0,4771.41
1.0,171,22719,171/22719,REM Contrato Servicios   y Tratamien Anim Domésticos,1.0,171,2,0.0,533.52,533.52,0.0
1.0,171,22720,171/22720,Contrato Servicios  Huertos Urbanos,1.0,171,2,0.0,0.0,0.0,0.0
1.0,171,22720,171/22720,REMContrato Servicios  Huertos Urbanos,1.0,171,2,0.0,13047.42,13047.42,13047.42
1.0,171,22721,171/22721,FA. Contrato Serv Reposición Arbolado Urbano,1.0,171,2,0.0,18150.0,18150.0,0.0
1.0,171,22722,171/22722,REM Contrato de Prestacion de Servicios Medición Radón.,1.0,171,2,0.0,12705.0,12705.0,12705.0
1.0,171,48900,171/48900,Subvención CES,1.0,171,4,0.0,12000.0,12000.0,0.0
1.0,171,48900,171/48900,REM Subvención CES,1.0,171,4,0.0,6000.0,6000.0,6000.0
1.0,171,61000,171/61000,REM Infraestrucuras Generales  en  Jardines (CTOEX),1.0,171,6,0.0,340518.2,340518.2,340518.19
1.0,171,61001,171/61001,REM Infraestrucuras Generales M. Ambiente Presto Participativo,1.0,171,6,0.0,20739.4,20739.4,0.0
1.0,171,61002,171/61002,REM PIR Infraestructras Generales.  Arboreto PIR,1.0,171,6,0.0,196625.0,196625.0,31036.18
1.0,171,61003,171/61003,REMInfraestructras Generales.  Arboreto no PIR,1.0,171,6,0.0,99710.06,99710.06,57688.37
1.0,171,62300,171/62300,REM PIR Inversiones en Maqunaria y Enseres,1.0,171,6,0.0,32425.56,32425.56,32425.56
1.0,221,12700,221/12700,Aportacion Plan Pensiones Personal,1.0,221,1,25000.0,0.0,25000.0,18501.6
1.0,221,16200,221/16200,Accion Formacion y perfecionamiento del personal,1.0,221,1,10000.0,-1000.0,9000.0,1300.0
1.0,221,16201,221/16201,Formacion y perfecionamiento del personal Policía,1.0,221,1,5000.0,0.0,5000.0,0.0
1.0,221,16203,221/16203,Acción Social Asistencia Sanitaria Funiconarios,1.0,221,1,8000.0,0.0,8000.0,5573.96
1.0,221,16204,221/16204,Acción Social del Personal Laboral,1.0,221,1,1000.0,0.0,1000.0,418.25
1.0,221,22706,221/22706,Contratos de servicios de Formación Empleados,1.0,221,2,0.0,0.0,0.0,0.0
1.0,230,10000,230/10000,Retribuciones Altos Cargos,1.0,230,1,20000.0,9125.4,29125.4,18006.86
1.0,230,13000,230/13000,Retribuciones Personal laboral Limpieza,1.0,230,1,3700.0,0.0,3700.0,0.0
1.0,230,16000,230/16000,Cotización Seguridad Social,1.0,230,1,7510.0,2470.32,9980.32,6305.63
1.0,230,21200,230/21200,Reparaciones en Hogar Centro de Bienestar Social,1.0,230,2,1000.0,0.0,1000.0,0.0
1.0,230,21300,230/21300,Reparaciones Maquinaria Sede Bienestar Social,1.0,230,2,0.0,29.42,29.42,29.42
1.0,230,21300,230/21300,Reparaciones Maquinaria Sede Bienestar Social,1.0,230,2,1500.0,0.0,1500.0,1747.98
1.0,230,22100,230/22100,Energia Electrica Centro de Bienestar Social,1.0,230,2,6000.0,0.0,6000.0,3564.47
1.0,230,22101,230/22101,Agua Hogar de Tercera Edad,1.0,230,2,800.0,0.0,800.0,773.39
1.0,230,22110,230/22110,Productos Limpieza Hogar de Tercera Edad,1.0,230,2,1000.0,0.0,1000.0,86.08
1.0,230,22199,230/22199,Suministros varios Hogar de Tercera Edad,1.0,230,2,500.0,0.0,500.0,0.0
1.0,230,22200,230/22200,REMTeléfono Servicios Sociales,1.0,230,2,0.0,525.36,525.36,0.0
1.0,230,22200,230/22200,Teléfono Servicios Sociales,1.0,230,2,4500.0,0.0,4500.0,1233.78
1.0,230,22601,230/22601,Actividades Bienestar Social,1.0,230,2,20000.0,-5300.0,14700.0,7591.63
1.0,230,22609,230/22609,Actividades Servicios Sociales VIOGEN,1.0,230,2,0.0,19033.41,19033.41,17071.98
1.0,230,22701,230/22701,Contratos de Seguridad,1.0,230,2,0.0,0.0,0.0,91.2
1.0,230,46300,230/46300,Transferencias Mancomunidad Servicios Sociales,1.0,230,4,249000.0,0.0,249000.0,263237.97
1.0,230,48900,230/48900,Subvenciones sin animo lucro Servicios sociales,1.0,230,4,500.0,0.0,500.0,0.0
1.0,230,48901,230/48901,Ayudas Becas de Comedor,1.0,230,4,0.0,1980.0,1980.0,1889.44
1.0,230,48901,230/48901,Ayudas Becas de Comedor,1.0,230,4,15000.0,0.0,15000.0,0.0
1.0,230,48902,230/48902,"Ayudas  Pobreza Energética, Acogida, Emergencia Social",1.0,230,4,4000.0,0.0,4000.0,0.0
1.0,230,48903,230/48903,Aydas Sociales a la Vivienda,1.0,230,4,10000.0,-4300.0,5700.0,0.0
1.0,234,13100,234/13100,Retribuciones Personal Laboral temporal,1.0,234,1,29690.22,1500.0,31190.22,23100.15
1.0,234,16000,234/16000,Cotización Seguridad Social,1.0,234,1,9367.26,500.0,9867.26,6944.06
1.0,234,21200,234/21200,Reparaciones en Hogar de Tercera Edad,1.0,234,2,4000.0,-2000.0,2000.0,0.0
1.0,234,21300,234/21300,Reparaciones Maquinaria Hogar de Tercera Edad,1.0,234,2,3000.0,0.0,3000.0,2732.05
1.0,234,21300,234/21300,Reparaciones Maquinaria Hogar de Tercera Edad,1.0,234,2,0.0,108.5,108.5,108.5
1.0,234,22100,234/22100,Energia Electrica Hogar de Tercera Edad,1.0,234,2,15000.0,0.0,15000.0,13034.11
1.0,234,22101,234/22101,Agua Hogar de Tercera Edad,1.0,234,2,3000.0,0.0,3000.0,2050.47
1.0,234,22103,234/22103,REMCombustible y Carburante Hogar de Tercera Edad,1.0,234,2,0.0,164.61,164.61,0.0
1.0,234,22103,234/22103,REM Combustible y Carburante Hogar de Tercera Edad,1.0,234,2,0.0,47.41,47.41,0.0
1.0,234,22103,234/22103,Combustible y Carburante Hogar de Tercera Edad,1.0,234,2,1000.0,0.0,1000.0,791.48
1.0,234,22199,234/22199,Suministros varios Hogar Tercera Edad,1.0,234,2,500.0,0.0,500.0,13.2
1.0,234,22199,234/22199,REMSuministros varios Hogar Tercera Edad,1.0,234,2,0.0,26.4,26.4,13.2
1.0,234,22200,234/22200,Teléfono Hogar 3ª Edad,1.0,234,2,2000.0,0.0,2000.0,510.86
